title,subtitle,edition,year,pages,isbn,language,status,shelf,published,author,editor,
Memória de Minhas Putas Tristes,,,,127,,Português,2,1,,122,, Mike Carey
The Catcher in the Rye,,,,277,,Inglês,2,1,1951,123,, Robert T. Kiyosaki
O Inescrito  I,,,,,,Português,2,1,, Mike Carey,, Vladimir Nabokov
O Inescrito II,,,,,,Português,2,1,, Mike Carey,,Abu Fobiya
"Pai Rico, Pai Pobre",,,,,,Português,2,1,1997, Robert T. Kiyosaki,,Adonias Filho
Lolita,,,,331,,Português,2,1,1955, Vladimir Nabokov,,Alan Moore
Independência ou Mortos,,,,160,,Português,2,1,2012,Abu Fobiya,Nerdbooks,Albert Camus
Protocolo Bluehand: Zumbis,,,,272,,Português,2,1,2012,Abu Fobiya,Nerdbooks,Álex Rovira Celma
O Largo da Palma,,,,102,,Português,2,1,1981,adonias filho,,Anthony Burgess
V de Vingança,,,,306,,Português,2,1,,Alan Moore,Vertigo,Ariel Dorfman
The Stranger,,,,123,,Inglês,2,1,1942,Albert Camus,,Augusto Cury
Os Sete Poderes,,,,160,,Português,2,1,,Álex Rovira Celma,,Augusto dos Anjos
Laranja Mecânica,,,,219,,Português,2,1,,Anthony Burgess,,Bill Willingham
Death and the Maiden,,,,61,,Inglês,2,1,1990,Ariel Dorfman,,Boaventura de Sousa Santos
Você é Insubstituível,,,,112,,Português,2,1,2002,Augusto Cury,sextante,C. Greenwood 
Eu e Outras Poesias,,,,242,,Português,2,1,1912,Augusto dos Anjos,,Carina Portugal
Adieu,,,,52,,Inglês,2,1,1830,118,,Carlos Orsi
Contos Fabulosos,,,,132,,Português,2,1,,Bill Willingham,Vertigo,Carlos Queiroz Telles
Um Discurso Sobre as Ciências,,,,92,,Português,2,1,,Boaventura de Sousa Santos,,Charles Dickens
Magic of the Thieves,,,,191,B00AEJG2KY,Inglês,2,1,,C. Greenwood ,kindle,Cora Coralina
Coração de Corda,,,,26,,Português,2,1,2013,Carina Portugal,,Davi colbert
The Schroedinger Show,,,,7,,Inglês,2,1,,Carlos Orsi,,David Wong
As Sete Faces da Primeira Vez,,,,119,,Português,2,1,,Carlos Queiroz Telles,moderna,Eça de Queirós
Great Expectations,,,,505,,Inglês,2,1,1860,Charles Dickens,,Fábio Fernandes
O Tesouro da Casa Velha,,,,98,,Português,2,1,1989,Cora Coralina,Global Editora,Fabio Moon
O Mundo Mágico de Harry Potter,,,,,,Português,2,1,,Davi colbert,sextante,Fábio Yabu
John Dies at the End,,,,362,,Inglês,2,1,2007,David Wong,,Fanny Merkin
A Correspondência de Fradique Mendes,,,,176,,Português,2,1,1900,Eça de Queirós,,Giselda Laporta Nicolelis
Charlotte Sometimes,,,,14,,Inglês,2,1,,Fábio Fernandes,kindle,James T. Raydel
Daytripper,,,,256,,Português,2,1,,Fabio Moon,Vertigo,John Green
Os Três Lobinhos,,,,12,B00GWP0L4M,Português,2,1,2013,Fábio Yabu,kindle,Jorge Amado
50 Shames of Earl Grey,,,,224,,Inglês,2,1,,Fanny Merkin,,Juracy Marques
The Great Gatsby,,,,180,,Inglês,2,1,1925,45,,Kate Rorick
The Curious Case of Benjamin Button,,,,64,,Inglês,2,1,1922,45,,Lewis Carroll
Sinal e Ruído,,,,96,,Português,2,1,,49,conrad,Mari Veiga
The Sleeper and the Spindle,,,,72,,Inglês,2,1,,49,,Nelson Luiz de Carvalho
Mudando de Casca,,,,,,Português,2,1,,Giselda Laporta Nicolelis,moderna,Nikolai Gogol
The War of the Worlds,,,,192,,Inglês,2,1,1898,109,,Oliver Bowden
The Call of Cthulhu,,,,43,,Inglês,2,1,1928,53,,P. Barbosa
The Snows of Kilimanjaro,,,,25,,Inglês,2,1,1936,53,,quilombhoje
Heyoka Baby,,,,40,,Inglês,2,1,2013,James T. Raydel,,Rudolf Von Ihering
The Fault in Our Stars,,,,313,,Inglês,2,1,,John Green,,Stephen Chbosky  
An Abudance of Katherines,,,,229,,Inglês,2,1,2006,John Green,,"Stephenie Meyer,"
"Will Grayson, Will Grayson",,,,310,,Inglês,2,1,2010,John Green,,Truman Capote
Looking for Alaska,,,,221,,Inglês,2,1,2006,John Green,,Vinicius de Moraes
Paper Towns,,,,305,,Inglês,2,1,2008,John Green,,Voltaire
Capitães de Areia,,,,256,,Português,2,1,1937,jorge amado,record,William Faulkner
Ecologia da Alma,,,,,,Português,2,1,,Juracy Marques,,madona
O Diário Secreto de Lizzie Bennet,,,,364,,Português,2,1,,Kate Rorick,,
On The Road,,,,307,,Português,2,1,1955,59,,
Alice no País das Maravilhas,,,,155,,Português,2,1,1865,Lewis Carroll,,
Through the Looking Glass,,,,228,,Inglês,2,1,1871,Lewis Carroll,,
Dom Casmurro,,,,176,,Português,2,1,1899,10,,
Filosofia de um Par de Botas,,,,,B00AGJHVKW,Português,2,1,,10,kindle,
Elogio da Vaidade,,,,,B00AGZG7E2,Português,2,1,,10,kindle,
História de Uma Lágrima,,,,,B00AGJI33Q,Português,2,1,,10,kindle,
A Herança,,,,,B00AGAOO9C,Português,2,1,,10,kindle,
Astúcias de Marido,,,,,B00AGZCJ8A,Português,2,1,,10,kindle,
O Astrólogo,,,,,B00AH4JXXE,Português,2,1,,10,kindle,
Cinco Mulheres,,,,,B00AGB2826,Português,2,1,,10,kindle,
O País das Quimeras,,,,,B00AGZTRRQ,Português,2,1,,10,kindle,
A Pianista,,,,,B00AGZCJG2,Português,2,1,,10,kindle,
A Vida Eterna,,,,,B00AGZCHQY,Português,2,1,,10,kindle,
Antes que Cases,,,,,B00AGZCJ8U,Português,2,1,,10,kindle,
O Imortal,,,,,B00AGJI1R4,Português,2,1,,10,kindle,
O Pai,,,,,B00AGZTMGW,Português,2,1,,10,kindle,
"O Amor, Simplesmente",,,,,,Português,2,1,,Mari Veiga,,
Meu Teto Cor de Rosa,,,,84,,Português,2,1,,Mari Veiga,,
Histórias Para Meninas,,,,70,,Português,2,1,2014,Mari Veiga,,
Macunaíma,,,,168,,Português,2,1,,9,,
O Terceiro Travesseiro,,,,210,,Português,2,1,2005,Nelson Luiz de Carvalho,,
O Nariz,,,,76,,Português,2,1,1836,Nikolai Gogol,,
Assassin's Creed,,,,516,,Português,2,1,2009,Oliver Bowden,Ace,
1984,,,,328,,Português,2,1,,75,,
O Retrato de Dorian Gray,,,,254,,Português,2,1,1888,111,Martim claret,
The Importance of Being Earnest,,,,76,,Inglês,2,1,1895,111,,
O Quarto Branco,,,,77,,Português,2,1,,P. Barbosa,,
Cadernos Negros,,,,127,,Português,2,1,2008,quilombhoje,quilombhoje,
The Casual Vacancy,,,,503,,Inglês,2,1,2012,2,,
A Luta Pelo Direito,,,,,,Português,2,1,,Rudolf Von Ihering,Martim claret,
Hamlet,,,,289,,Português,2,1,1603,93,,
Romeu e Julieta,,,,80,,Português,2,1,1567,93,,
Frankenstein,,,,288,,Português,2,1,,5,,
The Perks of Being a Wallflower,,,,213,,Inglês,2,1,1999,Stephen Chbosky  ,,
Crepúsculo,,,,416,,Português,2,1,2005,"Stephenie Meyer,",Intriseca,
Lua Nova,,,,563,,Português,2,1,2006,"Stephenie Meyer,",Intriseca,
Eclipse,,,,629,,Português,2,1,2007,"Stephenie Meyer,",Intriseca,
Amanhecer,,,,756,,Português,2,1,2008,"Stephenie Meyer,",Intriseca,
Breakfast at Tiffany's,,,,142,,Inglês,2,1,1958,Truman Capote,,
A Journey to the Center of the Earth,,,,240,,Inglês,2,1,1864,106,,
Para Uma Menina Como Uma Flor,,,,176,,Português,2,1,1941,Vinicius de Moraes,,
Candide,,,,129,,Inglês,2,1,1759,Voltaire,,
A Rose for Emily,,,,36,,Inglês,2,1,1930,William Faulkner,,
As Rosas Inglesas,,,,48,,Português,2,1,,madona,rocco,
